ID,res_ratio,av_h,av_1_over_h,res_vol_per_capita,res_vol_per_capita_p10,res_vol_per_capita_p50,res_vol_per_capita_p90,res_vol_per_capita_gini,av_age,share_pre_1975_buildings,share_1975_1985_buildings,share_1985_1995_buildings,share_1995_2005_buildings,share_2005_2015_buildings,residential_volume_density,av_built_up_density,pop_density,pop_density_p10,pop_density_p50,pop_density_p90,pop_density_gini,age_x_height,age_x_inv_height,age_x_res_vol,ntl_per_res_vol,energy_per_vol_per_capita,ntl_per_res_vol_p10,ntl_per_res_vol_p50,ntl_per_res_vol_p90,ntl_per_res_vol_gini,energy_per_vol_per_capita_p10,energy_per_vol_per_capita_p50,energy_per_vol_per_capita_p90,energy_per_vol_per_capita_gini,delta_pm_25,standard_delta_pm_25,delta_pm_25_per_capita,delta_bc,standard_delta_bc,delta_bc_per_capita,delta_oc,standard_delta_oc,delta_oc_per_capita,hdd_18,cdd_25,extreme_heat,extreme_cold
010103,0.7613171321730774,3.491034627144862,0.8450533323580723,1427.7045866930107,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,33.54638513582806,0.46678172133922485,0.04230785899000825,0.05084948504451839,0.030108620161103196,0.23641384436499432,0.006760247586097083,0.0018615593358503055,0.0035920194102871724,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.0,122.1710468292582,27.267363709978394,1182947.695424682,0.0004894826013908117,0.0011696704976874419,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.010216594567544424,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.0,1.7204097848067224,0.1581509078075312,,1.531809687484285e-06,1.1303295591740492,,9.060764857769359e-06,1.1319649271962322,,221.6090633745962,28.406595940283363,27.716893521120156,4.218677938099269
010109,0.9750004538170969,1.4238029953449416,0.9437174850607389,782.1077724558663,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,43.98787592963007,0.765030177378129,0.01103914055875865,0.03831503308850322,0.014505885677997177,0.08598113976523608,0.0066329590733479925,0.0026141306060656236,0.005621711030882828,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.0,68.93088199975512,35.48744366277456,669236.5723549954,0.0005030263472793872,0.002735373900215608,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.01050207164644068,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.0,2.101214774350265,0.19153080827416308,,2.2224074379498613e-06,1.1196544089189133,,1.316772070603306e-05,1.1205548590477916,,215.70096135362596,29.802716403493925,27.80208198919794,4.86612204771682
010112,0.9267895751425274,0.6612452322314106,1.9561191232517074,536.8812047573101,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,35.8997425171224,0.4859199044096215,0.024935733613748953,0.03734616460246631,0.03572239497699615,0.18367491541636405,0.0025311114134430445,0.0015596749739991455,0.005482155099047606,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.0,25.308121809801072,68.70055999658544,233429.76147519087,0.0016087444315775548,0.003029709053658911,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.053148210237307314,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.004284131805725844,1.8090644818442307,0.17165202789984507,,8.297446481088907e-07,1.1195132849183271,,4.871731407145268e-06,1.1204837155456462,,222.37047459307192,28.290232064508032,27.59020363711076,4.28597115164783
010119,0.9236066993640956,1.7386281530592391,1.351564832080293,733.2319385334739,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,41.18402264394642,0.5986507639668094,0.03879261383313247,0.029748853703472827,0.02059011760794581,0.11102162379309867,0.003966398882222755,0.0017645414794730868,0.0054456051735345444,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.03932029638909207,77.17816559685,48.86819859926109,737928.2226385359,0.0008782707599249484,0.0023073227624591536,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.02359041100389081,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.0,1.7312242536529419,0.16982392864190804,,1.4390464757721574e-06,1.1195839394692988,,8.484541338452286e-06,1.1205194564066714,,222.83163471827308,28.725303588801832,27.64968351921325,4.190187750321067
010121,0.8330080069172603,2.6413917008802077,0.7469018182112188,875.7514610408169,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,39.51200746920055,0.6406847496783746,0.019887916846347296,0.035782522155003216,0.029431237347529688,0.1561505080863522,0.008287669255986363,0.0023292094749232293,0.006765229480887797,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.010032671755555334,119.15939031760499,23.69689233437678,1168474.246670916,0.00039728055768968433,0.002677024689191007,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.005447273040643519,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.0,1.5669494948705989,0.14403125864932623,,1.683297427162487e-06,1.119588033303324,,9.927856269345235e-06,1.120521285682406,,221.36617660578437,28.719102030842667,27.70960943590548,4.296354619740431
010122,0.7287790724560321,4.011237645297657,0.6000823279660719,2145.9992796647507,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,34.673373726918925,0.5314233264164898,0.0363045481014383,0.04105052866061121,0.026515395456576073,0.24392374163047242,0.011074624616461783,0.002182578107256481,0.0030557826021064788,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.004955055841315392,153.50167231535747,17.950811535226574,1509121.9473479604,0.00024036110920364455,0.0009454235005330688,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.0018784141715174618,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.0,1.6622090780824876,0.14979651107416755,,1.626093183553746e-06,1.1319001015151087,,9.623285804570034e-06,1.1336436243890684,,219.45204162597656,28.373506546020508,27.740644454956055,4.520132064819336
010123,0.9741805339434637,0.38449284263059186,2.7977280037139827,502.5908070215174,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,36.98410927848105,0.47460306021368,0.10711725037590036,0.05082197285700152,0.03301205201899106,0.1447610299730915,0.0014966782464032628,0.0012679360646006136,0.0049750599790570555,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.0825893027979634,14.445726294900153,100.76102141127268,131296.70321040208,0.0033932673131118287,0.002765016593574157,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.14578673953885712,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.020057459409266842,1.1318564038142436,0.11744127075080657,,2.8088585897068894e-07,1.1230386188763017,,1.6674578921744084e-06,1.1241595323029514,,227.47813728656735,28.148072088153466,27.621292177182585,3.4915614686283574
010124,0.8566969711777495,2.6940309725421367,1.1610632094866875,691.9280818848562,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,29.06343579784589,0.33602405244212347,0.036894640351915406,0.07149835234535246,0.09066832614229667,0.23639930092978798,0.004839536660677191,0.0019927226901921345,0.005747250968533604,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.0,55.050563107542764,36.56019390102082,531258.6353037916,0.0007986268694489271,0.002902347976489431,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.01623845323665507,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.0,2.034217282366437,0.18729706684760214,,1.8573192920111473e-06,1.1201663486073876,,1.0954437321353708e-05,1.1211454608811555,,219.41319326474013,28.57283476202434,27.741000114886777,4.534255953711482
010125,0.8185544493290178,2.0425473874447726,1.1026947311641593,1002.5728184106115,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,35.23825924314428,0.4695941679239229,0.03167475065365947,0.024245134247660137,0.026526542329143997,0.20303422581459965,0.005400205071628247,0.0019264651654476287,0.004195413660242045,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.0,64.95193357019062,37.53476436883274,623270.6747085648,0.0005529308618795262,0.0016579093990143306,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.008169045431674626,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.0,2.018970185568882,0.1898699723991645,,1.8764002077754033e-06,1.1195744646391388,,1.1066614326845074e-05,1.1205140711499475,,219.11711211827983,29.6640231731054,27.74537983630161,4.615536660895962
010126,0.8385017111542041,2.5308209789103304,1.0090663050119588,880.9193254728217,0.04946821182966232,0.04946821182966232,0.04946821182966232,0.0,36.671393939853566,0.5390448130365197,0.018671613560308453,0.054434017168630874,0.04242591784276638,0.1767765168048887,0.005767506296902942,0.0020403064879484585,0.0051782216284959595,1.7082200098883504e-09,1.7082200098883504e-09,1.7082200098883504e-09,0.0,98.10789996679526,35.23678992374088,959503.3291631822,0.0005860244877170703,0.002394816083316611,3.1184838462650077e-06,3.1184838462650077e-06,3.1184838462650077e-06,0.01011546992295742,6.695456689076451e-11,6.695456689076451e-11,6.695456689076451e-11,0.0,1.9488136126185793,0.18585408578728288,,1.7875566720697201e-06,1.1195655736233334,,1.0539215972599429e-05,1.1205095882201732,,219.16995239257812,29.820886611938477,27.743227005004883,4.622689723968506
