NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA
PT112;0303;030368;30/09/2013;Uni?o das freguesias de Crespos e Pousada;Uni?o das freguesias de Crespos e Pousada;1347;7338200
PT112;0303;030369;30/09/2013;Uni?o das freguesias de Escudeiros e Penso (Santo Est?v?o e S?o Vicente);Uni?o das freguesias de Escudeiros e Penso (Santo Est?v?o e S?o Vicente);1864;8036600
PT112;0303;030370;30/09/2013;Uni?o das freguesias de Este (S?o Pedro e S?o Mamede);Uni?o das freguesias de Este (S?o Pedro e S?o Mamede);3837;9794900
PT112;0303;030371;30/09/2013;Uni?o das freguesias de Ferreiros e Gondizalves;Uni?o das freguesias de Ferreiros e Gondizalves;9148;4256200
PT112;0303;030372;30/09/2013;Uni?o das freguesias de Guisande e Oliveira (S?o Pedro);Uni?o das freguesias de Guisande e Oliveira (S?o Pedro);1053;4709400
PT112;0303;030373;30/09/2013;Uni?o das freguesias de Lomar e Arcos;Uni?o das freguesias de Lomar e Arcos;6805;4012700
PT112;0303;030374;30/09/2013;Uni?o das freguesias de Merelim (S?o Paio), Panoias e Parada de Tib?es;Uni?o das freguesias de Merelim (S?o Paio), Panoias e Parada de Tib?es;5363;5359800
PT112;0303;030375;30/09/2013;Uni?o das freguesias de Merelim (S?o Pedro) e Frossos;Uni?o das freguesias de Merelim (S?o Pedro) e Frossos;3726;3148500
PT112;0303;030376;30/09/2013;Uni?o das freguesias de Morreira e Trandeiras;Uni?o das freguesias de Morreira e Trandeiras;1447;4542900
PT112;0303;030377;30/09/2013;Uni?o das freguesias de Nogueira, Frai?o e Lamaç?es;Uni?o das freguesias de Nogueira, Frai?o e Lamaç?es;13054;8395100
PT112;0303;030378;30/09/2013;Uni?o das freguesias de Nogueiró e Ten?es;Uni?o das freguesias de Nogueiró e Ten?es;5129;4427300
PT112;0303;030379;30/09/2013;Uni?o das freguesias de Real, Dume e Semelhe;Uni?o das freguesias de Real, Dume e Semelhe;11700;8465000
PT112;0303;030380;30/09/2013;Uni?o das freguesias de Santa Lucrécia de Algeriz e Navarra;Uni?o das freguesias de Santa Lucrécia de Algeriz e Navarra;994;6217500
PT112;0303;030381;30/09/2013;Uni?o das freguesias de Vilaça e Fradelos;Uni?o das freguesias de Vilaça e Fradelos;1580;2796200
PT119;0304;030401;no;Abadim;Abadim;571;15136400
PT119;0304;030404;no;Basto;Basto;938;5576100
PT119;0304;030405;no;Bucos;Bucos;554;17798500
PT119;0304;030406;no;Cabeceiras de Basto;Cabeceiras de Basto;711;24522400
PT119;0304;030407;no;Cavez;Cavez;1268;26791200
PT119;0304;030408;no;Faia;Faia;558;5149600
PT119;0304;030413;no;Pedraça;Pedraça;760;12168200
PT119;0304;030415;no;Rio Douro;Rio Douro;942;43114200
PT119;0304;030418;30/09/2013;Uni?o das freguesias de Alvite e Passos;Uni?o das freguesias de Alvite e Passos;1184;12189200
PT119;0304;030419;30/09/2013;Uni?o das freguesias de Arco de Baúlhe e Vila Nune;Uni?o das freguesias de Arco de Baúlhe e Vila Nune;2048;9038600
PT119;0304;030420;30/09/2013;Uni?o das freguesias de Gondi?es e Vilar de Cunhas;Uni?o das freguesias de Gondi?es e Vilar de Cunhas;421;41384700
PT119;0304;030421;30/09/2013;Uni?o das freguesias de Refojos de Basto, Outeiro e Painzela;Uni?o das freguesias de Refojos de Basto, Outeiro e Painzela;6755;28952600
PT11C;0305;030501;no;Agilde;Agilde;1227;9012100
PT11C;0305;030502;no;Arnóia;Arnóia;1702;18728900
PT11C;0305;030503;no;Borba de Montanha;Borba de Montanha;1294;10890300
PT11C;0305;030508;no;Codeçoso;Codeçoso;444;10698400
PT11C;0305;030510;no;Fervença;Fervença;1445;12047800
PT11C;0305;030515;no;Moreira do Castelo;Moreira do Castelo;627;6135100
PT11C;0305;030517;no;Rego;Rego;1241;17087800
PT11C;0305;030518;no;Ribas;Ribas;1068;8277900
PT11C;0305;030520;no;Basto (S?o Clemente);Basto (S?o Clemente);1524;15410600
PT11C;0305;030521;no;Vale de Bouro;Vale de Bouro;813;7891100
PT11C;0305;030523;30/09/2013;Uni?o das freguesias de Britelo, Gémeos e Ourilhe;Uni?o das freguesias de Britelo, Gémeos e Ourilhe;3670;17167000
PT11C;0305;030524;30/09/2013;Uni?o das freguesias de Caçarilhe e Infesta;Uni?o das freguesias de Caçarilhe e Infesta;758;11477000
PT11C;0305;030525;30/09/2013;Uni?o das freguesias de Canedo de Basto e Corgo;Uni?o das freguesias de Canedo de Basto e Corgo;1321;13231400
PT11C;0305;030526;30/09/2013;Uni?o das freguesias de Carvalho e Basto (Santa Tecla);Uni?o das freguesias de Carvalho e Basto (Santa Tecla);1001;10025000
PT11C;0305;030527;30/09/2013;Uni?o das freguesias de Veade, Gagos e Molares;Uni?o das freguesias de Veade, Gagos e Molares;1963;12989900
PT112;0306;030601;no;Antas;Antas;2221;9067300
PT112;0306;030608;no;Forj?es;Forj?es;2767;8304700
PT112;0306;030610;no;Gemeses;Gemeses;1078;5568600
PT112;0306;030615;no;Vila Ch?;Vila Ch?;1419;8502000
PT112;0306;030616;30/09/2013;Uni?o das freguesias de Apúlia e F?o;Uni?o das freguesias de Apúlia e F?o;7301;16285700
PT112;0306;030617;30/09/2013;Uni?o das freguesias de Belinho e Mar;Uni?o das freguesias de Belinho e Mar;3199;8946400
PT112;0306;030618;30/09/2013;Uni?o das freguesias de Esposende, Marinhas e Gandra;Uni?o das freguesias de Esposende, Marinhas e Gandra;11111;17314200
PT112;0306;030619;30/09/2013;Uni?o das freguesias de Fonte Boa e Rio Tinto;Uni?o das freguesias de Fonte Boa e Rio Tinto;1944;10378800
PT112;0306;030620;30/09/2013;Uni?o das freguesias de Palmeira de Faro e Curvos;Uni?o das freguesias de Palmeira de Faro e Curvos;3214;11042200
PT119;0307;030705;no;Armil;Armil;735;4648200
PT119;0307;030708;no;Estor?os;Estor?os;1508;5904400
PT119;0307;030709;no;Fafe;Fafe;15703;7969900
PT119;0307;030712;no;Fornelos;Fornelos;1374;2446600
PT119;0307;030714;no;Gol?es;Gol?es;2135;4699200
PT119;0307;030716;no;Medelo;Medelo;1602;2517100
PT119;0307;030719;no;Passos;Passos;1076;4096400
PT119;0307;030722;no;Quinch?es;Quinch?es;2278;10608500
PT119;0307;030723;no;Regadas;Regadas;1661;5902400
PT119;0307;030724;no;Revelhe;Revelhe;849;4910700
PT119;0307;030725;no;Ribeiros;Ribeiros;640;4958000
PT119;0307;030726;no;Ar?es (Santa Cristina);Ar?es (Santa Cristina);1538;3950500
PT119;0307;030728;no;S?o Gens;S?o Gens;1703;14797200
PT119;0307;030729;no;Silvares (S?o Martinho);Silvares (S?o Martinho);1325;6292900
PT119;0307;030730;no;Ar?es (S?o Rom?o);Ar?es (S?o Rom?o);3295;5721300
PT119;0307;030733;no;Travassós;Travassós;1539;8142200
PT119;0307;030736;no;Vinhós;Vinhós;642;2877900
PT119;0307;030737;30/09/2013;Uni?o das freguesias de Aboim, Felgueiras, Gontim e Pedraído;Uni?o das freguesias de Aboim, Felgueiras, Gontim e Pedraído;826;25678400
PT119;0307;030738;30/09/2013;Uni?o das freguesias de Agrela e Seraf?o;Uni?o das freguesias de Agrela e Seraf?o;1180;9193300
PT119;0307;030739;30/09/2013;Uni?o das freguesias de Antime e Silvares (S?o Clemente);Uni?o das freguesias de Antime e Silvares (S?o Clemente);2046;5574700
PT119;0307;030740;30/09/2013;Uni?o das freguesias de Ardeg?o, Arnozela e Seid?es;Uni?o das freguesias de Ardeg?o, Arnozela e Seid?es;1083;9783000
PT119;0307;030741;30/09/2013;Uni?o das freguesias de Cep?es e Fareja;Uni?o das freguesias de Cep?es e Fareja;2265;7389600
PT119;0307;030742;30/09/2013;Uni?o das freguesias de Freitas e Vila Cova;Uni?o das freguesias de Freitas e Vila Cova;804;11477800
PT119;0307;030743;30/09/2013;Uni?o das freguesias de Monte e Queimadela;Uni?o das freguesias de Monte e Queimadela;801;20372400
PT119;0307;030744;30/09/2013;Uni?o das freguesias de Moreira do Rei e Várzea Cova;Uni?o das freguesias de Moreira do Rei e Várzea Cova;2025;29168400
PT119;0308;030801;no;Ald?o;Ald?o;1293;1551500
PT119;0308;030804;no;Azurém;Azurém;8348;2900100
PT119;0308;030806;no;Barco;Barco;1510;3016100
PT119;0308;030807;no;Brito;Brito;4939;5903000
PT119;0308;030808;no;Caldelas;Caldelas;5723;2693600
PT119;0308;030812;no;Costa;Costa;5155;4710500
PT119;0308;030813;no;Creixomil;Creixomil;9641;3006900
PT119;0308;030815;no;Ferment?es;Ferment?es;5707;3755600
PT119;0308;030820;no;Gonça;Gonça;1051;7026000
PT119;0308;030821;no;Gondar;Gondar;2837;2508500
PT119;0308;030823;no;Guardizela;Guardizela;2474;3975700
PT119;0308;030824;no;Infantas;Infantas;1764;6494400
PT119;0308;030827;no;Longos;Longos;1372;7236100
PT119;0308;030828;no;Lordelo;Lordelo;4287;4972500
PT119;0308;030830;no;Mes?o Frio;Mes?o Frio;4173;4130300
PT119;0308;030831;no;Moreira de Cónegos;Moreira de Cónegos;4853;4724700
PT119;0308;030832;no;Nespereira;Nespereira;2578;3688300
PT119;0308;030835;no;Pencelo;Pencelo;1258;2398400
PT119;0308;030836;no;Pinheiro;Pinheiro;1234;1932700
PT119;0308;030837;no;Polvoreira;Polvoreira;3495;3294800
PT119;0308;030838;no;Ponte;Ponte;6610;6011000
PT119;0308;030840;no;Ronfe;Ronfe;4462;5020500
PT119;0308;030842;no;Prazins (Santa Eufémia);Prazins (Santa Eufémia);1221;2234800
PT119;0308;030850;no;Selho (S?o Cristóv?o);Selho (S?o Cristóv?o);2357;2664300
PT119;0308;030854;no;Selho (S?o Jorge);Selho (S?o Jorge);5729;5201600
PT119;0308;030857;no;Candoso (S?o Martinho);Candoso (S?o Martinho);1340;2208400
PT119;0308;030858;no;Sande (S?o Martinho);Sande (S?o Martinho);2533;3304300
PT119;0308;030865;no;S?o Torcato;S?o Torcato;3373;10385100
PT119;0308;030866;no;Serzedelo;Serzedelo;3630;5138600
PT119;0308;030868;no;Silvares;Silvares;2282;4488500
PT119;0308;030871;no;Urgezes;Urgezes;5259;3314800
PT119;0308;030875;30/09/2013;Uni?o das freguesias de Abaç?o e Gémeos;Uni?o das freguesias de Abaç?o e Gémeos;2694;6733700
PT119;0308;030876;30/09/2013;Uni?o das freguesias de Air?o Santa Maria, Air?o S?o Jo?o e Vermil;Uni?o das freguesias de Air?o Santa Maria, Air?o S?o Jo?o e Vermil;3657;7483400
PT119;0308;030877;30/09/2013;Uni?o das freguesias de Arosa e Castel?es;Uni?o das freguesias de Arosa e Castel?es;809;5523100
PT119;0308;030878;30/09/2013;Uni?o das freguesias de At?es e Rendufe;Uni?o das freguesias de At?es e Rendufe;2630;12089200
PT119;0308;030879;30/09/2013;Uni?o das freguesias de Briteiros Santo Est?v?o e Donim;Uni?o das freguesias de Briteiros Santo Est?v?o e Donim;2089;5938300
PT119;0308;030880;30/09/2013;Uni?o das freguesias de Briteiros S?o Salvador e Briteiros Santa Leocádia;Uni?o das freguesias de Briteiros S?o Salvador e Briteiros Santa Leocádia;1799;9388800
PT119;0308;030881;30/09/2013;Uni?o das freguesias de Candoso S?o Tiago e Mascotelos;Uni?o das freguesias de Candoso S?o Tiago e Mascotelos;3794;3859500
PT119;0308;030882;30/09/2013;Uni?o das freguesias de Conde e Gandarela;Uni?o das freguesias de Conde e Gandarela;2452;3641600
PT119;0308;030883;30/09/2013;Uni?o das freguesias de Leit?es, Oleiros e Figueiredo;Uni?o das freguesias de Leit?es, Oleiros e Figueiredo;1466;8977100
PT119;0308;030884;30/09/2013;Uni?o das freguesias de Oliveira, S?o Paio e S?o Sebasti?o;Uni?o das freguesias de Oliveira, S?o Paio e S?o Sebasti?o;8137;1554900
PT119;0308;030885;30/09/2013;Uni?o das freguesias de Prazins Santo Tirso e Corvite;Uni?o das freguesias de Prazins Santo Tirso e Corvite;1876;4587600
PT119;0308;030886;30/09/2013;Uni?o das freguesias de Sande S?o Lourenço e Balazar;Uni?o das freguesias de Sande S?o Lourenço e Balazar;1537;6457800
PT119;0308;030887;30/09/2013;Uni?o das freguesias de Sande Vila Nova e Sande S?o Clemente;Uni?o das freguesias de Sande Vila Nova e Sande S?o Clemente;3434;7253100
PT119;0308;030888;30/09/2013;Uni?o das freguesias de Selho S?o Lourenço e Gominh?es;Uni?o das freguesias de Selho S?o Lourenço e Gominh?es;2293;4152600
PT119;0308;030889;30/09/2013;Uni?o das freguesias de Serzedo e Calvos;Uni?o das freguesias de Serzedo e Calvos;2284;4504400
PT119;0308;030890;30/09/2013;Uni?o das freguesias de Souto Santa Maria, Souto S?o Salvador e Gondomar;Uni?o das freguesias de Souto Santa Maria, Souto S?o Salvador e Gondomar;2096;13869300
PT119;0308;030891;30/09/2013;Uni?o das freguesias de Tabuadelo e S?o Faustino;Uni?o das freguesias de Tabuadelo e S?o Faustino;2553;5048500
PT119;0309;030906;no;Covelas;Covelas;416;2909300
PT119;0309;030908;no;Ferreiros;Ferreiros;416;4400200
PT119;0309;030912;no;Galegos;Galegos;543;2942100
PT119;0309;030913;no;Garfe;Garfe;1000;5435800
PT119;0309;030914;no;Geraz do Minho;Geraz do Minho;546;4843300
PT119;0309;030915;no;Lanhoso;Lanhoso;720;6057900
PT119;0309;030917;no;Monsul;Monsul;770;3278700
PT119;0309;030919;no;Póvoa de Lanhoso (Nossa Senhora do Amparo);Póvoa de Lanhoso (Nossa Senhora do Amparo);5048;5703200
PT119;0309;030921;no;Rendufinho;Rendufinho;736;8365300
PT119;0309;030922;no;Santo Emili?o;Santo Emili?o;926;2137900
PT119;0309;030923;no;S?o Jo?o de Rei;S?o Jo?o de Rei;401;5462100
PT119;0309;030924;no;Serzedelo;Serzedelo;719;10063500
PT119;0309;030925;no;Sobradelo da Goma;Sobradelo da Goma;794;10119200
PT119;0309;030926;no;Taíde;Taíde;1613;6665300
PT119;0309;030927;no;Travassos;Travassos;698;4638200
PT119;0309;030929;no;Vilela;Vilela;615;4578500
PT119;0309;030930;30/09/2013;Uni?o das freguesias de Águas Santas e Moure;Uni?o das freguesias de Águas Santas e Moure;659;3911000
PT119;0309;030931;30/09/2013;Uni?o das freguesias de Calvos e Frades;Uni?o das freguesias de Calvos e Frades;753;8716100
PT119;0309;030932;30/09/2013;Uni?o das freguesias de Campos e Louredo;Uni?o das freguesias de Campos e Louredo;1485;5064300
PT119;0309;030933;30/09/2013;Uni?o das freguesias de Esperança e Brunhais;Uni?o das freguesias de Esperança e Brunhais;652;8209700
PT119;0309;030934;30/09/2013;Uni?o das freguesias de Fonte Arcada e Oliveira;Uni?o das freguesias de Fonte Arcada e Oliveira;1672;11058900
PT119;0309;030935;30/09/2013;Uni?o das freguesias de Verim, Friande e Ajude;Uni?o das freguesias de Verim, Friande e Ajude;736;10092400
PT112;0310;031001;no;Balança;Balança;341;3764900
PT112;0310;031003;no;Campo do Ger?s;Campo do Ger?s;162;68764800
PT112;0310;031004;no;Carvalheira;Carvalheira;386;9053400
PT112;0310;031008;no;Covide;Covide;343;18094800
PT112;0310;031009;no;Gondoriz;Gondoriz;295;7400800
PT112;0310;031010;no;Moimenta;Moimenta;741;3353800
PT112;0310;031012;no;Ribeira;Ribeira;242;2245200
PT112;0310;031013;no;Rio Caldo;Rio Caldo;892;13953700
PT112;0310;031014;no;Souto;Souto;494;4026100
PT112;0310;031015;no;Valdosende;Valdosende;630;12115200
PT112;0310;031017;no;Vilar da Veiga;Vilar da Veiga;1286;77825700
PT112;0310;031018;30/09/2013;Uni?o das freguesias de Chamoim e Vilar;Uni?o das freguesias de Chamoim e Vilar;440;12568200
PT112;0310;031019;30/09/2013;Uni?o das freguesias de Chorense e Monte;Uni?o das freguesias de Chorense e Monte;580;20263400
PT112;0310;031020;30/09/2013;Uni?o das freguesias de Cib?es e Brufe;Uni?o das freguesias de Cib?es e Brufe;421;24030700
PT119;0311;031105;no;Cantel?es;Cantel?es;828;11542600
PT119;0311;031107;no;Eira Vedra;Eira Vedra;702;5585900
PT119;0311;031108;no;Guilhofrei;Guilhofrei;961;11232500
PT119;0311;031109;no;Louredo;Louredo;436;7613700
PT119;0311;031110;no;Mosteiro;Mosteiro;774;10819200
PT119;0311;031111;no;Parada do Bouro;Parada do Bouro;469;7710600
PT119;0311;031112;no;Pinheiro;Pinheiro;447;10266300
PT119;0311;031113;no;Rossas;Rossas;1673;31566000
PT119;0311;031115;no;Salamonde;Salamonde;387;8370000
PT119;0311;031118;no;Tabuaças;Tabuaças;919;9682400
PT119;0311;031120;no;Vieira do Minho;Vieira do Minho;2239;7186400
PT119;0311;031122;30/09/2013;Uni?o das freguesias de Anissó e Soutelo;Uni?o das freguesias de Anissó e Soutelo;392;8151900
PT119;0311;031123;30/09/2013;Uni?o das freguesias de Anjos e Vilar do Ch?o;Uni?o das freguesias de Anjos e Vilar do Ch?o;589;24987600
PT119;0311;031124;30/09/2013;Uni?o das freguesias de Caniçada e Soengas;Uni?o das freguesias de Caniçada e Soengas;603;8989500
PT119;0311;031125;30/09/2013;Uni?o das freguesias de Ruiv?es e Campos;Uni?o das freguesias de Ruiv?es e Campos;923;44034600
PT119;0311;031126;30/09/2013;Uni?o das freguesias de Ventosa e Cova;Uni?o das freguesias de Ventosa e Cova;659;8704400
PT119;0312;031204;no;Bairro;Bairro;3598;3352700
PT119;0312;031206;no;Brufe;Brufe;2231;2489200
PT119;0312;031210;no;Castel?es;Castel?es;2021;3528500
PT119;0312;031212;no;Cruz;Cruz;1738;4131700
PT119;0312;031213;no;Del?es;Del?es;3917;2463200
PT119;0312;031215;no;Fradelos;Fradelos;3914;16803400
PT119;0312;031216;no;Gavi?o;Gavi?o;3747;4040900
PT119;0312;031219;no;Joane;Joane;8089;7315800
PT119;0312;031221;no;Landim;Landim;2834;4510000
PT119;0312;031223;no;Louro;Louro;2250;4980300
PT119;0312;031224;no;Lousado;Lousado;4057;5817700
PT119;0312;031225;no;Mogege;Mogege;1943;2868100
PT119;0312;031227;no;Nine;Nine;2974;4336100
PT119;0312;031230;no;Pedome;Pedome;2120;2630800
PT119;0312;031232;no;Pousada de Saramagos;Pousada de Saramagos;2234;2120300
PT119;0312;031233;no;Requi?o;Requi?o;3376;7416400
PT119;0312;031234;no;Riba de Ave;Riba de Ave;3425;2757200
PT119;0312;031235;no;Ribeir?o;Ribeir?o;8828;10290900
PT119;0312;031239;no;Oliveira (Santa Maria);Oliveira (Santa Maria);3420;4520800
PT119;0312;031241;no;Vale (S?o Martinho);Vale (S?o Martinho);2081;3601200
PT119;0312;031242;no;Oliveira (S?o Mateus);Oliveira (S?o Mateus);2714;2170500
PT119;0312;031247;no;Vermoim;Vermoim;2930;4714400
PT119;0312;031249;no;Vilarinho das Cambas;Vilarinho das Cambas;1366;8410600
PT119;0312;031250;30/09/2013;Uni?o das freguesias de Antas e Abade de Vermoim;Uni?o das freguesias de Antas e Abade de Vermoim;7362;5441900
PT119;0312;031251;30/09/2013;Uni?o das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;Uni?o das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;3543;8809000
PT119;0312;031252;30/09/2013;Uni?o das freguesias de Avidos e Lagoa;Uni?o das freguesias de Avidos e Lagoa;2653;4673300
PT119;0312;031253;30/09/2013;Uni?o das freguesias de Carreira e Bente;Uni?o das freguesias de Carreira e Bente;2576;3579700
PT119;0312;031254;30/09/2013;Uni?o das freguesias de Esmeriz e Cabeçudos;Uni?o das freguesias de Esmeriz e Cabeçudos;3684;7254100
PT119;0312;031255;30/09/2013;Uni?o das freguesias de Gondifelos, Caval?es e Outiz;Uni?o das freguesias de Gondifelos, Caval?es e Outiz;4890;16705600
PT119;0312;031256;30/09/2013;Uni?o das freguesias de Lemenhe, Mouquim e Jesufrei;Uni?o das freguesias de Lemenhe, Mouquim e Jesufrei;3217;9831700
PT119;0312;031257;30/09/2013;Uni?o das freguesias de Ruiv?es e Novais;Uni?o das freguesias de Ruiv?es e Novais;3012;4547900
PT119;0312;031258;30/09/2013;Uni?o das freguesias de Seide;Uni?o das freguesias de Seide;1542;2854700
PT119;0312;031259;30/09/2013;Uni?o das freguesias de Vale (S?o Cosme), Telhado e Portela;Uni?o das freguesias de Vale (S?o Cosme), Telhado e Portela;5401;13688300
PT119;0312;031260;30/09/2013;Uni?o das freguesias de Vila Nova de Famalic?o e Calendário;Uni?o das freguesias de Vila Nova de Famalic?o e Calendário;20145;8935800
PT112;0313;031304;no;Ati?es;Ati?es;520;4036500
PT112;0313;031308;no;Cabanelas;Cabanelas;2102;6740300
PT112;0313;031309;no;Cerv?es;Cerv?es;1981;10890500
PT112;0313;031311;no;Coucieiro;Coucieiro;531;4216700
PT112;0313;031313;no;Doss?os;Doss?os;500;3346700
PT112;0313;031316;no;Freiriz;Freiriz;1099;5842500
PT112;0313;031317;30/09/2013;G?me;G?me;551;1596700
