ID;share_of_households_with_air_conditioning;homeownership_rate;average_household_age;share_of_population_under_4_years_old;share_of_population_over_64_years_old;unemployment_rate;share_of_superior_edu;percentage_overcrowded_households;building_state_of_conservation_index;main_heating_energy_source_share_of_electricity;main_heating_energy_source_share_of_wood_coal_and_other_solid_fuels;main_heating_energy_source_share_of_petroleum_diesel_and_other_liquid_fuels;main_heating_energy_source_share_of_gas;main_heating_energy_source_share_of_other
181310;0,004784689;0,932692308;1978,367521;0,026515152;0,306818182;0,159722222;0,013257576;14,35;4,513043478;0,081339713;0,813397129;0,014354067;0,014354067;0
181311;0,027698185;0,778202677;1981,297864;0,049589387;0,168982944;0,13123561;0,064750474;10,51;4,457784663;0,230181471;0,498567335;0,070678128;0,067812798;0,00095511
181312;0,007117438;0,946619217;1978,33134;0,016861219;0,238651102;0,155963303;0,018158236;14,23;4,662679426;0,078291815;0,839857651;0,010676157;0,021352313;0
181313;0,015748031;0,921259843;1963,671329;0,032857143;0,222857143;0,082125604;0,022857143;12,99;4,624413146;0,043307087;0,799212598;0,043307087;0,051181102;0,003937008
181314;0,014010508;0,872154116;1974,394231;0,028093645;0,233444816;0,124293785;0,028093645;9,28;4,361593463;0,105078809;0,626970228;0,085814361;0,024518389;0
181316;0,021359223;0,79223301;1964,617647;0,044867437;0,188307274;0,156976744;0,031951054;11,335;4,615049073;0,174757282;0,621359223;0,058252427;0,052427184;0,001941748
181317;0,006944444;0,902777778;1962,633824;0,036697248;0,25;0,138157895;0,038990826;15,015;4,128742515;0,0625;0,868055556;0,027777778;0,013888889;0
181318;0,010452962;0,790940767;1955,861213;0,05443038;0,218987342;0,194029851;0,015189873;13,395;4,15370019;0,153310105;0,797909408;0,006968641;0,013937282;0
181319;0;0,918604651;1953,785714;0,041564792;0,337408313;0,086956522;0,017114914;25,6;4,754464286;0,063953488;0,540697674;0,046511628;0,011627907;0
181403;0,117647059;0,93837535;1976,794017;0,033084312;0,266808965;0,13164557;0,04909285;3,64;4,659130435;0,106442577;0,669467787;0,148459384;0,036414566;0,00280112
181405;0,078239609;0,924205379;1975,659164;0,029767442;0,273488372;0,080952381;0,042790698;4,65;4,446428571;0,041564792;0,858190709;0,080684597;0,002444988;0,002444988
181406;0,050139276;0,890909091;1969,221006;0,037132543;0,285198556;0,136966127;0,030428056;7,38;4,750406504;0,096100279;0,799442897;0,068245125;0,011142061;0,001392758
181410;0,05984252;0,890995261;1972,337551;0,032317073;0,279878049;0,13024602;0,040853659;6,3;4,644602851;0,133858268;0,759055118;0,064566929;0,018897638;0,003149606
181411;0,143695015;0,807038123;1977,156828;0,048337708;0,218285214;0,109750353;0,099956255;4,555;4,567351027;0,208211144;0,633431085;0,063929619;0,070967742;0,003519062
181412;0,082311734;0,901754386;1973,561569;0,033472803;0,278242678;0,143646409;0,027894003;5,545;4,54805726;0,077057793;0,854640981;0,042031524;0,001751313;0
181501;0,005586592;0,955307263;1973,952962;0,027334852;0,261958998;0,055900621;0,013667426;10,06;4,60915493;0,05027933;0,877094972;0,055865922;0,011173184;0
181502;0,058455115;0,782881002;1959,016052;0,046367852;0,238794436;0,091932458;0,032457496;10,23;4,561811506;0,183716075;0,599164927;0,139874739;0,056367432;0
181504;0,052941176;0,947058824;1973,478182;0,02173913;0,246376812;0,147727273;0,004830918;12,35;4,412408759;0,111764706;0,8;0,029411765;0,023529412;0
181505;0,016736402;0,891213389;1957,766949;0,036565978;0,224165342;0,084615385;0,028616852;4,18;4,340659341;0,046025105;0,790794979;0,150627615;0,0041841;0,008368201
181507;0,030612245;0,912820513;1969,02027;0,021645022;0,303030303;0,094202899;0,025974026;3,57;4,490909091;0,015306122;0,841836735;0,137755102;0,005102041;0
181509;0,040229885;0,942528736;1970,569971;0,034858388;0,202614379;0,05;0,043572985;4,6;4,625827815;0,051724138;0,844827586;0,08045977;0,011494253;0
181511;0,016304348;0,972826087;1984,657328;0,023809524;0,292207792;0,044871795;0,021645022;7,61;4,377969762;0,02173913;0,89673913;0,070652174;0;0,005434783
181512;0,011111111;0,744444444;1981,508152;0,030837004;0,220264317;0,029850746;0,013215859;5,56;4,735955056;0;0,877777778;0,088888889;0,011111111;0
181515;0,043583535;0,773333333;1979,282099;0,048319328;0,154201681;0,117491166;0,062605042;9,025;4,609708738;0,220338983;0,573849879;0,093220339;0,082324455;0,001210654
